"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Tm5b","Hbn/Opa/Slp",6,"Late",0,0,0,1,1,0,"Y","Color","Notch On","N","Color","projection",FALSE,104,"N","N","N"
"Tm5f","Hbn/Opa/Slp",6,"Late",0,0,0,0,1,0,"Y","Color","Notch On","Y","Color","projection",FALSE,82,"N","N","N"
"Tm8a","Hbn/Opa/Slp",6,"Late",1,0,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE,53,"N","N","N"
"TmY10","Hbn/Opa/Slp",6,"Late",0,1,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE,52,"N","N","N"
"TmY11","Hbn/Opa/Slp",6,"Late",1,1,0,0,0,0,"Y","Color","Notch On","Y","Color","projection",FALSE,45,"N","N","N"
"TmY14","Hbn/Opa/Slp",6,"Late",0,1,0,0,0,0,"Y","Object","Notch Off","N","Object","projection",FALSE,137,"N","N","N"
"Dm15","Slp/D",7,"Late",0,0,0,1,1,0,"Y","Motion","Notch Off","N","Motion","intrinsic",FALSE,124,"N","N","N"
"Dm3p","Slp/D",7,"Late",0,1,1,1,1,0,"Y","Form","Notch Off","N","Form","intrinsic",FALSE,225,"N","N","N"
"Dm3q","Slp/D",7,"Late",1,1,0,0,1,1,"Y","Form","Notch Off","N","Form","intrinsic",FALSE,226,"N","N","N"
"Dm3v","Slp/D",7,"Late",NA,NA,NA,NA,NA,NA,"N","Form","Notch Off","N","Form","intrinsic",FALSE,NA,"N","N","N"
"TmY4","Slp/D",7,"Late",0,1,1,1,0,0,"Y","Form","Notch On","N","Form","projection",FALSE,75,"N","N","N"
"Dm2","D/BH-1",8,"Late",1,1,1,1,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,128,"N","N","N"
"Mi15","D/BH-1",8,"Late",0,0,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE,31,"N","N","N"
"Sm01","D/BH-1",8,"Late",1,1,0,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE,129,"N","N","N"
"Sm02","D/BH-1",8,"Late",1,1,0,0,0,0,"Y","Color","Notch Off","Y","Color","intrinsic",FALSE,129,"N","N","N"
"T1","D/BH-1",8,"Late",1,1,1,1,1,1,"Y","Motion","Notch Off","N","Motion","projection",FALSE,1,"N","N","N"
