"cell_type","temporal_label","temporal_id","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC"
"LPi13","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Mi2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"MLt1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"MLt2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"MLt3","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"MLt4","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"MLt5","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"MLt6","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"MLt7","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"MLt8","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm12","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Pm14","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Sm41","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm39","unknown",0,NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",FALSE
"PDt","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Sm29","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm26","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm28","unknown",0,NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","",TRUE
"Sm19","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm21","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm33","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm25","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm35","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm18","unknown",0,NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","",TRUE
"Sm15","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm38","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Sm34","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm17","unknown",0,NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","",TRUE
"Sm14","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
